date;mac;rssi
08.07.2023;5C:70:A3:68:82:48;-58
08.07.2023;5C:70:A3:68:82:48;-58
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-52
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-58
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-59
08.07.2023;5C:70:A3:68:82:48;-58
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-58
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-58
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-51
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-53
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-53
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-54
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-69
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-69
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-70
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-71
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-69
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-70
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-70
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-54
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-51
08.07.2023;5C:70:A3:68:82:48;-51
08.07.2023;5C:70:A3:68:82:48;-52
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-54
08.07.2023;5C:70:A3:68:82:48;-54
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-59
08.07.2023;5C:70:A3:68:82:48;-58
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-58
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-73
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-59
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-58
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-58
08.07.2023;5C:70:A3:68:82:48;-59
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-59
08.07.2023;5C:70:A3:68:82:48;-58
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-54
08.07.2023;5C:70:A3:68:82:48;-58
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-60
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-58
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-67
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-54
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-54
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-69
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-58
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-70
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-72
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-71
08.07.2023;5C:70:A3:68:82:48;-69
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-70
08.07.2023;5C:70:A3:68:82:48;-54
08.07.2023;5C:70:A3:68:82:48;-50
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-54
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-58
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-54
08.07.2023;5C:70:A3:68:82:48;-54
08.07.2023;5C:70:A3:68:82:48;-54
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-59
08.07.2023;5C:70:A3:68:82:48;-58
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-59
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-58
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-70
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-54
08.07.2023;5C:70:A3:68:82:48;-68
08.07.2023;5C:70:A3:68:82:48;-70
08.07.2023;5C:70:A3:68:82:48;-55
08.07.2023;5C:70:A3:68:82:48;-53
08.07.2023;5C:70:A3:68:82:48;-68
08.07.2023;5C:70:A3:68:82:48;-57
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-54
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
08.07.2023;5C:70:A3:68:82:48;-56
